Battery,Feature,Mean,Std,Min,Max,Median
B0005,Voltage_mean,3.516787369047619,0.032726579252582516,3.464021,3.564103,3.5146290000000002
B0005,Voltage_min,2.6489385297619044,0.04929705571741881,2.455679,2.699983,2.6601925
B0005,Voltage_max,4.195982392857142,0.004694216051243998,4.184535,4.22292,4.196905
B0005,Voltage_range,1.5470438630952381,0.0471862322302061,1.49327,1.733594,1.5363645
B0005,Current_mean,-1.8070732857142855,0.08467654650033424,-1.938881,-1.667447,-1.816639
B0005,Current_std,0.5921062142857143,0.1157920130618338,0.377264,0.758669,0.5966
B0005,Temperature_mean,32.79131855357142,0.7136311311871045,31.329996,34.310885,32.856923
B0005,Temperature_max,39.84511010119048,1.1180199111859266,37.801336,41.450232,40.080753
B0005,Temperature_rise,15.622809083333333,1.085097945275183,13.741467,17.310871,15.865708000000001
B0005,Cycle_number,84.5,48.641546028061235,1.0,168.0,84.5
B0005,SoH,78.62510386904762,9.520638243264036,64.37265,92.82435,77.854275
B0005,RUL,46.13095238095238,41.36409961321641,0.0,124.0,40.5
B0006,Voltage_mean,3.4637030357142855,0.05966396887096803,3.403885,3.573551,3.4314325
B0006,Voltage_min,2.4157790892857145,0.06766717915583703,2.120698,2.499908,2.4292015
B0006,Voltage_max,4.181963220238096,0.0058689156599035204,4.157552,4.222516,4.182276
B0006,Voltage_range,1.766184130952381,0.06708428071830039,1.664558,2.054918,1.7533634999999999
B0006,Current_mean,-1.7842229404761905,0.14158901595662463,-1.999755,-1.516972,-1.750655
B0006,Current_std,0.5791235833333334,0.21884936524734694,0.147004,0.864747,0.6738325
B0006,Temperature_mean,32.792664583333334,0.9849770083117654,30.761533,34.490494,33.122533000000004
B0006,Temperature_max,39.86925011904762,1.3972046936889102,36.980243,42.00754,40.333019
B0006,Temperature_rise,15.675759482142857,1.3519208307492254,12.993038,17.655021,16.164468
B0006,Cycle_number,84.5,48.641546028061235,1.0,168.0,84.5
B0006,SoH,77.3425324404762,12.601900368415995,57.6909,101.7669,74.268575
B0006,RUL,35.035714285714285,36.25704851682513,0.0,108.0,24.5
B0018,Voltage_mean,3.4958359545454543,0.03187656529115512,3.444633,3.547514,3.494967
B0018,Voltage_min,2.411580287878788,0.05441977144602046,2.278634,2.498504,2.414925
B0018,Voltage_max,4.187965098484848,0.002101231859197011,4.181407,4.193543,4.1879485
B0018,Voltage_range,1.7763848106060607,0.05425484273205375,1.688024,1.906618,1.7746985
B0018,Current_mean,-1.834525674242424,0.050335582021343736,-1.954176,-1.76987,-1.8184295000000001
B0018,Current_std,0.5565054166666668,0.08391227937773497,0.327555,0.649878,0.5878380000000001
B0018,Temperature_mean,31.094192371212124,0.4045255898825286,30.102704,32.023112,31.054655
B0018,Temperature_max,37.73813249242425,0.6010576812453892,36.372088,38.878688,37.7505845
B0018,Temperature_rise,14.45327325,0.6470261988012751,13.319112,15.576579,14.5113065
B0018,Cycle_number,66.5,38.24918299781056,1.0,132.0,66.5
B0018,SoH,77.88503863636365,7.744231692874595,67.05255,92.75025,76.5946
B0018,RUL,35.27272727272727,32.138320070169904,0.0,96.0,30.5
